from-version,to-version,from-symbol,modification,to-symbol,modification2
20250101,20260101,A61L0002020000,c,A61L0002020000,c
20250101,20260101,A61L0002020000,c,A61L0002022000,n
20250101,20260101,A61L0002030000,c,A61L0002030000,c
20250101,20260101,A61L0002030000,c,A61L0002035000,n
20250101,20260101,A61L0002080000,c,A61L0002080000,c
20250101,20260101,A61L0002080000,c,A61L0002081000,n
20250101,20260101,A61L0002080000,c,A61L0002082000,n
20250101,20260101,A61L0002080000,c,A61L0002084000,n
20250101,20260101,A61L0002080000,c,A61L0002085000,n
20250101,20260101,A61L0002080000,c,A61L0002087000,n
20250101,20260101,A61L0002080000,c,A61L0002088000,n
20250101,20260101,A61L0002180000,c,A61L0002180000,c
20250101,20260101,A61L0002180000,c,A61L0002183000,n
20250101,20260101,A61L0002180000,c,A61L0002186000,n
20250101,20260101,A61L0002200000,c,A61L0002200000,c
20250101,20260101,A61L0002200000,c,A61L0002202000,n
20250101,20260101,A61L0002200000,c,A61L0002204000,n
20250101,20260101,A61L0002200000,c,A61L0002206000,n
20250101,20260101,A61L0002200000,c,A61L0002208000,n
20250101,20260101,G21K0001000000,c,G21K0001000000,c
20250101,20260101,G21K0001000000,c,G21K0001200000,n
20250101,20260101,G21K0001000000,c,G21K0001300000,n
20250101,20260101,G06F0011140000,c,G06F0011140000,c
20250101,20260101,G06F0011140000,c,G06F0011144600,n
20250101,20260101,G06F0011140000,c,G06F0011147100,n
20250101,20260101,G06F0011140000,c,G06F0011147400,n
20250101,20260101,G06F0011140000,c,G06F0011147900,n
20250101,20260101,G06F0011140000,c,G06F0011148200,n
20250101,20260101,G06F0011140000,c,G06F0011148700,n
20250101,20260101,G06F0011140000,c,G06F0011148900,n
20250101,20260101,G06F0011140000,c,G06F0011149200,n
20250101,20260101,G06F0011140000,c,G06F0011149700,n
20250101,20260101,H02J0003200000,d,H02J0003180000,c
20250101,20260101,H02J0003220000,d,H02J0003180000,c
20250101,20260101,H02J0003240000,d,H02J0003001400,n
20250101,20260101,H02J0005000000,d,H02J0004250000,n
20250101,20260101,H02J0001000000,c,H02J0001000000,c
20250101,20260101,H02J0001000000,c,H02J0001002000,n
20250101,20260101,H02J0001000000,c,H02J0001020000,t
20250101,20260101,H02J0001000000,c,H02J0001040000,t
20250101,20260101,H02J0001000000,c,H02J0001060000,t
20250101,20260101,H02J0001000000,c,H02J0001080000,c
20250101,20260101,H02J0001000000,c,H02J0001082000,n
20250101,20260101,H02J0001000000,c,H02J0001100000,c
20250101,20260101,H02J0001000000,c,H02J0001102000,n
20250101,20260101,H02J0001000000,c,H02J0001108000,n
20250101,20260101,H02J0001000000,c,H02J0001120000,t
20250101,20260101,H02J0001000000,c,H02J0001140000,c
20250101,20260101,H02J0001000000,c,H02J0001150000,n
20250101,20260101,H02J0001000000,c,H02J0001160000,t
20250101,20260101,H02J0001080000,c,H02J0001080000,c
20250101,20260101,H02J0001080000,c,H02J0001082000,n
20250101,20260101,H02J0001100000,c,H02J0001100000,c
20250101,20260101,H02J0001100000,c,H02J0001102000,n
20250101,20260101,H02J0001100000,c,H02J0001108000,n
20250101,20260101,H02J0001100000,c,H02J0001120000,t
20250101,20260101,H02J0003000000,c,H02J0003000000,c
20250101,20260101,H02J0003000000,c,H02J0003001000,n
20250101,20260101,H02J0003000000,c,H02J0003001200,n
20250101,20260101,H02J0003000000,c,H02J0003001400,n
20250101,20260101,H02J0003000000,c,H02J0003007000,n
20250101,20260101,H02J0003000000,c,H02J0003007300,n
20250101,20260101,H02J0003000000,c,H02J0003008000,n
20250101,20260101,H02J0003000000,c,H02J0003010000,t
20250101,20260101,H02J0003000000,c,H02J0003020000,c
20250101,20260101,H02J0003000000,c,H02J0003040000,t
20250101,20260101,H02J0003000000,c,H02J0003060000,t
20250101,20260101,H02J0003000000,c,H02J0003080000,t
20250101,20260101,H02J0003000000,c,H02J0003100000,t
20250101,20260101,H02J0003000000,c,H02J0003110000,n
20250101,20260101,H02J0003000000,c,H02J0003120000,t
20250101,20260101,H02J0003000000,c,H02J0003140000,t
20250101,20260101,H02J0003000000,c,H02J0003160000,t
20250101,20260101,H02J0003000000,c,H02J0003170000,n
20250101,20260101,H02J0003000000,c,H02J0003175000,n
20250101,20260101,H02J0003000000,c,H02J0003180000,c
20250101,20260101,H02J0003000000,c,H02J0003180700,n
20250101,20260101,H02J0003000000,c,H02J0003181400,n
20250101,20260101,H02J0003000000,c,H02J0003182100,n
20250101,20260101,H02J0003000000,c,H02J0003182800,n
20250101,20260101,H02J0003000000,c,H02J0003183500,n
20250101,20260101,H02J0003000000,c,H02J0003184200,n
20250101,20260101,H02J0003000000,c,H02J0003185000,n
20250101,20260101,H02J0003000000,c,H02J0003185700,n
20250101,20260101,H02J0003000000,c,H02J0003186400,n
20250101,20260101,H02J0003000000,c,H02J0003187800,n
20250101,20260101,H02J0003000000,c,H02J0003188500,n
20250101,20260101,H02J0003000000,c,H02J0003189200,n
20250101,20260101,H02J0003000000,c,H02J0003260000,t
20250101,20260101,H02J0003000000,c,H02J0003280000,t
20250101,20260101,H02J0003000000,c,H02J0003300000,t
20250101,20260101,H02J0003000000,c,H02J0003320000,t
20250101,20260101,H02J0003000000,c,H02J0003340000,t
20250101,20260101,H02J0003000000,c,H02J0003360000,t
20250101,20260101,H02J0003000000,c,H02J0003380000,c
