改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2023.01,U,A01M 7/00,A01M 7/00,Special adaptations or arrangements of liquid-spraying apparatus for purposes covered by this subclass,Special adaptations or arrangements of liquid-spraying apparatus for purposes covered by this subclass,Compilation of Changes
2023.01,,A01M 7/0003,A01M 7/0003,"{Atomisers or mist blowers (single-unit, i.e. unitary, hand-held apparatus in which flow of liquid or other fluent material is produced by the operator at the moment of use B05B11/00single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}","{Atomisers or mist blowers (single-unit, i.e. unitary, hand-held apparatus in which flow of liquid or other fluent material is produced by the operator at the moment of use B05B11/00single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}",Compilation of Changes
2023.01,U,A01M 9/00,A01M 9/00,Special adaptations or arrangements of powder-spraying apparatus for purposes covered by this subclass,Special adaptations or arrangements of powder-spraying apparatus for purposes covered by this subclass,Compilation of Changes
2023.01,,A01M 9/0007,A01M 9/0007,"{Pneumatic dusters (electrostatic spraying apparatus B05B5/00; single unit, i.e. unitary, hand-held apparatus, in which flow of fluent material is produced by the operator at the moment of use B05B11/00; single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}","{Pneumatic dusters (electrostatic spraying apparatus B05B5/00; single unit, i.e. unitary, hand-held apparatus, in which flow of fluent material is produced by the operator at the moment of use B05B11/00; single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}",Compilation of Changes
2023.01,M,A21C 1/00,A21C 1/00,"Mixing or kneading machines for the preparation of dough (domestic mixing or kneading machines A47J43/00, A47J44/00  {; mixing in general B01F; mixing or kneading of substances in a plastic state in general B29B7/00})","Mixing or kneading machines for the preparation of dough (domestic mixing or kneading machines A47J43/00, A47J44/00  {; mixing in general B01F; mixing or kneading of substances in a plastic state in general B29B7/00})",Compilation of Changes
2023.01,U,A21C 3/00,A21C 3/00,Machines or apparatus for shaping batches of dough before subdivision,Machines or apparatus for shaping batches of dough before subdivision,Compilation of Changes
2023.01,M,A21C 3/02,A21C 3/02,Dough-sheeters; Rolling-machines; Rolling-pins {(mixing or kneading dough by rollers A21C1/08; non-manual rolling and working of discrete dough pieces A21C7/00)},Dough-sheeters; Rolling-machines; Rolling-pins {(mixing or kneading dough by rollers A21C1/08; non-manual rolling and working of discrete dough pieces A21C7/00)},Compilation of Changes
2023.01,M,A21C 3/06,A21C 3/06,"Machines for coiling sheets of dough, e.g. for producing rolls {, e.g. crescent-rolls (as part of a machine for further moulding or forming A21C7/00; with filling A21C9/06)}","Machines for coiling sheets of dough, e.g. for producing rolls {, e.g. crescent-rolls (as part of a machine for further moulding or forming A21C7/00; with filling A21C9/06)}",Compilation of Changes
2023.01,U,A21C 5/00,A21C 5/00,Dough-dividing machines,Dough-dividing machines,Compilation of Changes
2023.01,M,A21C 5/08,A21C 5/08,"with radial, i.e. star-like, cutter-blades slidable in the slots of, and relatively to, a pressing-plunger {(A21C7/06 takes precedence)}","with radial, i.e. star-like, cutter-blades slidable in the slots of, and relatively to, a pressing-plunger {(A21C7/06 takes precedence)}",Compilation of Changes
2023.01,M,A21C 13/00,A21C 13/00,"Provers, i.e. apparatus permitting dough to rise {(testing dough properties G01N33/10)}","Provers, i.e. apparatus permitting dough to rise {(testing dough properties G01N33/10)}",Compilation of Changes
2023.01,U,A21C 15/00,A21C 15/00,Apparatus for handling baked articles,Apparatus for handling baked articles,Compilation of Changes
2023.01,M,A21C 15/04,A21C 15/04,"Cutting or slicing machines or devices specially adapted for baked articles other than bread (for cutting or slicing bread B26B, B26D)","Cutting or slicing machines or devices specially adapted for baked articles other than bread (for cutting or slicing bread B26B, B26D)",Compilation of Changes
2023.01,U,A23L 13/00,A23L 13/00,Meat products; Meat meal; Preparation or treatment thereof,Meat products; Meat meal; Preparation or treatment thereof,Compilation of Changes
2023.01,M,A23L 13/04,A23L 13/04,containing additives (tenderising meat by using additives A23L13/72),containing additives (tenderising meat by using additives A23L13/72),Compilation of Changes
2023.01,C,A23L 13/07,A23L 13/07,"Tenderised or flavoured meat pieces, e.g. obtained by injecting solutions; Macerating solutionsor marinating solutions specially adapted therefor","Tenderised or flavoured meat pieces, e.g. obtained by injecting solutions; Macerating solutionsor marinating solutions specially adapted therefor",Compilation of Changes
2023.01,C,A23L 13/72,A23L 13/72,"{using additives, e.g. injection solutions}by injection of solutions","{using additives, e.g. injection solutions}by injection of solutions",Compilation of Changes
2023.01,C,A23L 13/74,A23L 13/74,{using microorganisms or enzymes},{using microorganisms or enzymes},Compilation of Changes
2023.01,N,A23L 13/75,A23L 13/75,"using macerating or marinating solutions, e.g. marinades containing spices, acids, condiments or flavouring agents","using macerating or marinating solutions, e.g. marinades containing spices, acids, condiments or flavouring agents",Compilation of Changes
2023.01,C,A23L 13/76,A23L 13/76,"{by treatment in a gaseous atmosphere, e.g. aging,ageing or ripening;  Byby electrical treatment, irradiation or wave treatment}","{by treatment in a gaseous atmosphere, e.g. aging,ageing or ripening;  Byby electrical treatment, irradiation or wave treatment}",Compilation of Changes
2023.01,N,A23L 13/77,A23L 13/77,"by mechanical treatment, e.g. kneading, rubbing or tumbling","by mechanical treatment, e.g. kneading, rubbing or tumbling",Compilation of Changes
2023.01,U,A61B 5/00,A61B 5/00,"Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons","Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons",Compilation of Changes
2023.01,,A61B 5/117,A61B 5/117,"Identification of persons (methods or arrangements for recognising patterns, e.g. fingerprints, G06K9/00; methods or arrangements for recognising patterns, e.g. fingerprints, G06F18/00, G06V40/00; identification of persons by analysing their voice or speech G10L17/00)","Identification of persons (methods or arrangements for recognising patterns, e.g. fingerprints, G06K9/00; methods or arrangements for recognising patterns, e.g. fingerprints, G06F18/00, G06V40/00; identification of persons by analysing their voice or speech G10L17/00)",Compilation of Changes
2023.01,,A61B 5/72,A61B 5/72,"{Signal processing specially adapted for physiological signals or for diagnostic purposes (pattern recognition G06K9/00character recognition, recognising digital ink, document-oriented image-based pattern recognition G06V30/00; recognition or understanding of postal images G06V30/424)}","{Signal processing specially adapted for physiological signals or for diagnostic purposes (pattern recognition G06K9/00character recognition, recognising digital ink, document-oriented image-based pattern recognition G06V30/00; recognition or understanding of postal images G06V30/424)}",Compilation of Changes
2023.01,M,A61J 1/00,A61J 1/00,Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00A61B50/30; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;} containers for radioactive substances G21F5/00),Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00A61B50/30; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;} containers for radioactive substances G21F5/00),Compilation of Changes
2023.01,M,A61J 1/03,A61J 1/03,for pills or tablets (containers with special dispensing means therefor B65D83/04containers for pills or tablets with special dispensing means therefor B65D83/04),for pills or tablets (containers with special dispensing means therefor B65D83/04containers for pills or tablets with special dispensing means therefor B65D83/04),Compilation of Changes
2023.01,M,A61J 1/14,A61J 1/14,"Details {, e.g. provisions for hanging or shape retaining means}; Accessories therefor {, e.g. inlet or outlet ports, filters or caps}(A61J7/00 takes precedence; {plugs or stoppers B65D51/00;} openers B65D, B67B7/00)","Details {, e.g. provisions for hanging or shape retaining means}; Accessories therefor {, e.g. inlet or outlet ports, filters or caps}(A61J7/00 takes precedence; {plugs or stoppers B65D51/00;} openers B65D, B67B7/00)",Compilation of Changes
2023.01,M,A61J 1/1406,A61J 1/1406,"{Septums, pierceable membranes}","{Septums, pierceable membranes}",Compilation of Changes
2023.01,M,A61J 1/1412,A61J 1/1412,"{Containers with closing means, e.g. caps (plugs for containers B65D51/00)}","{Containers with closing means, e.g. caps (plugs for containers B65D51/00)}",Compilation of Changes
2023.01,M,A61J 1/1418,A61J 1/1418,{Threaded type},{Threaded type},Compilation of Changes
2023.01,M,A61J 1/1425,A61J 1/1425,{Snap-fit type},{Snap-fit type},Compilation of Changes
2023.01,M,A61J 1/1431,A61J 1/1431,"{Permanent type, e.g. welded or glued}","{Permanent type, e.g. welded or glued}",Compilation of Changes
2023.01,M,A61J 1/1437,A61J 1/1437,{Locking means requiring key or combination to open the container},{Locking means requiring key or combination to open the container},Compilation of Changes
2023.01,M,A61J 1/1443,A61J 1/1443,"{Containers with means for dispensing liquid medicaments in a filtered or sterile way, e.g. with bacterial filters}","{Containers with means for dispensing liquid medicaments in a filtered or sterile way, e.g. with bacterial filters}",Compilation of Changes
2023.01,M,A61J 1/145,A61J 1/145,{using air filters},{using air filters},Compilation of Changes
2023.01,M,A61J 1/1456,A61J 1/1456,{using liquid filters},{using liquid filters},Compilation of Changes
2023.01,M,A61J 1/1462,A61J 1/1462,"{Containers with provisions for hanging, e.g. integral adaptations of the container (accessories for hanging the container A61J1/16, A61M5/1414accessories for hanging the container A61M5/1414)}","{Containers with provisions for hanging, e.g. integral adaptations of the container (accessories for hanging the container A61J1/16, A61M5/1414accessories for hanging the container A61M5/1414)}",Compilation of Changes
2023.01,M,A61J 1/1468,A61J 1/1468,{Containers characterised by specific material properties},{Containers characterised by specific material properties},Compilation of Changes
2023.01,M,A61J 1/1475,A61J 1/1475,{Inlet or outlet ports},{Inlet or outlet ports},Compilation of Changes
2023.01,M,A61J 1/1481,A61J 1/1481,"{with connection retaining means, e.g. thread or snap-fit}","{with connection retaining means, e.g. thread or snap-fit}",Compilation of Changes
2023.01,M,A61J 1/1487,A61J 1/1487,"{with friction fit, e.g. connecting tubes directly to a protruding port}","{with friction fit, e.g. connecting tubes directly to a protruding port}",Compilation of Changes
2023.01,M,A61J 1/1493,A61J 1/1493,"{Containers with shape retaining means, e.g. to support the structure of the container during emptying or filling}","{Containers with shape retaining means, e.g. to support the structure of the container during emptying or filling}",Compilation of Changes
2023.01,M,A61J 1/16,A61J 1/16,Holders for containers,Holders for containers,Compilation of Changes
2023.01,M,A61J 1/165,A61J 1/165,"{Cooled holders, e.g. for medications, insulin, blood, plasma (containers with thermal insulation in general B65D81/38; ice-boxes F25D)}","{Cooled holders, e.g. for medications, insulin, blood, plasma (containers with thermal insulation in general B65D81/38; ice-boxes F25D)}",Compilation of Changes
2023.01,M,A61J 1/18,A61J 1/18,"Arrangements for indicating condition of container contents, e.g. sterile condition","Arrangements for indicating condition of container contents, e.g. sterile condition",Compilation of Changes
2023.01,M,A61J 1/02,A61J 1/02,"Arrangements for transferring {or mixing} fluids, e.g. from vial to syringe","Arrangements for transferring {or mixing} fluids, e.g. from vial to syringe",Compilation of Changes
2023.01,M,A61J 1/2003,A61J 1/2003,"{Accessories used in combination with means for transfer or mixing of fluids, e.g. for activating fluid flow, separating fluids, filtering fluid or venting}","{Accessories used in combination with means for transfer or mixing of fluids, e.g. for activating fluid flow, separating fluids, filtering fluid or venting}",Compilation of Changes
2023.01,M,A61J 1/2006,A61J 1/2006,{Piercing means},{Piercing means},Compilation of Changes
2023.01,M,A61J 1/201,A61J 1/201,{having one piercing end},{having one piercing end},Compilation of Changes
2023.01,M,A61J 1/2013,A61J 1/2013,{having two piercing ends},{having two piercing ends},Compilation of Changes
2023.01,M,A61J 1/2017,A61J 1/2017,{having three or more piercing ends},{having three or more piercing ends},Compilation of Changes
2023.01,M,A61J 1/202,A61J 1/202,{Separating means},{Separating means},Compilation of Changes
2023.01,M,A61J 1/2024,A61J 1/2024,{having peelable seals},{having peelable seals},Compilation of Changes
2023.01,M,A61J 1/2027,A61J 1/2027,{having frangible parts},{having frangible parts},Compilation of Changes
2023.01,M,A61J 1/2031,A61J 1/2031,{having openings brought into alignment},{having openings brought into alignment},Compilation of Changes
2023.01,M,A61J 1/2034,A61J 1/2034,{having separation clips},{having separation clips},Compilation of Changes
2023.01,M,A61J 1/2037,A61J 1/2037,{having valve means},{having valve means},Compilation of Changes
2023.01,M,A61J 1/2041,A61J 1/2041,{having removable plugs},{having removable plugs},Compilation of Changes
2023.01,M,A61J 1/2044,A61J 1/2044,{having slits},{having slits},Compilation of Changes
2023.01,M,A61J 1/2048,A61J 1/2048,{Connecting means},{Connecting means},Compilation of Changes
2023.01,M,A61J 1/2051,A61J 1/2051,"{having tap means, e.g. tap means activated by sliding}","{having tap means, e.g. tap means activated by sliding}",Compilation of Changes
2023.01,M,A61J 1/2055,A61J 1/2055,{having gripping means},{having gripping means},Compilation of Changes
2023.01,M,A61J 1/2058,A61J 1/2058,{having multiple connecting ports},{having multiple connecting ports},Compilation of Changes
2023.01,M,A61J 1/2062,A61J 1/2062,{with directional valves},{with directional valves},Compilation of Changes
2023.01,M,A61J 1/2065,A61J 1/2065,{having aligning and guiding means},{having aligning and guiding means},Compilation of Changes
2023.01,M,A61J 1/2068,A61J 1/2068,{Venting means},{Venting means},Compilation of Changes
2023.01,M,A61J 1/2072,A61J 1/2072,{for internal venting},{for internal venting},Compilation of Changes
2023.01,M,A61J 1/2075,A61J 1/2075,{for external venting},{for external venting},Compilation of Changes
2023.01,M,A61J 1/2079,A61J 1/2079,{Filtering means},{Filtering means},Compilation of Changes
2023.01,M,A61J 1/2082,A61J 1/2082,{for gas filtration},{for gas filtration},Compilation of Changes
