改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2013.09,M,B65F 2210/00,B65F 2210/00,,Equipment of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2210/102,B65F 2210/102,,Absorbing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/1023,B65F 2210/1023,,for liquids,Scheme XML差分（推定）
2013.09,M,B65F 2210/1026,B65F 2210/1026,,for smelling substances,Scheme XML差分（推定）
2013.09,M,B65F 2210/104,B65F 2210/104,,Ashtrays,Scheme XML差分（推定）
2013.09,M,B65F 2210/108,B65F 2210/108,,Authorization means,Scheme XML差分（推定）
2013.09,M,B65F 2210/1085,B65F 2210/1085,,Coins or tokens,Scheme XML差分（推定）
2013.09,M,B65F 2210/112,B65F 2210/112,,Coding means to aid in recycling,Scheme XML差分（推定）
2013.09,M,B65F 2210/1121,B65F 2210/1121,,Apertures,Scheme XML差分（推定）
2013.09,M,B65F 2210/1123,B65F 2210/1123,,Bar-codes,Scheme XML差分（推定）
2013.09,M,B65F 2210/1125,B65F 2210/1125,,Colors,Scheme XML差分（推定）
2013.09,M,B65F 2210/1126,B65F 2210/1126,,Symbols,Scheme XML差分（推定）
2013.09,M,B65F 2210/1128,B65F 2210/1128,,Text,Scheme XML差分（推定）
2013.09,M,B65F 2210/116,B65F 2210/116,,Cooling means,Scheme XML差分（推定）
2013.09,M,B65F 2210/12,B65F 2210/12,,Crushing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/124,B65F 2210/124,,Counting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/126,B65F 2210/126,,Cutting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/128,B65F 2210/128,,Data transmitting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/129,B65F 2210/129,,Deodorizing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/13,B65F 2210/13,,Double walls,Scheme XML差分（推定）
2013.09,M,B65F 2210/132,B65F 2210/132,,Draining means,Scheme XML差分（推定）
2013.09,M,B65F 2210/135,B65F 2210/135,,Flower boxes,Scheme XML差分（推定）
2013.09,M,B65F 2210/136,B65F 2210/136,,Dustpan,Scheme XML差分（推定）
2013.09,M,B65F 2210/137,B65F 2210/137,,Fans,Scheme XML差分（推定）
2013.09,M,B65F 2210/138,B65F 2210/138,,Identification means,Scheme XML差分（推定）
2013.09,M,B65F 2210/139,B65F 2210/139,,Illuminating means,Scheme XML差分（推定）
2013.09,M,B65F 2210/14,B65F 2210/14,,Incinerating means,Scheme XML差分（推定）
2013.09,M,B65F 2210/144,B65F 2210/144,,Level detecting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/1443,B65F 2210/1443,,Electrical,Scheme XML差分（推定）
2013.09,M,B65F 2210/1446,B65F 2210/1446,,Mechanical,Scheme XML差分（推定）
2013.09,M,B65F 2210/148,B65F 2210/148,,Locking means,Scheme XML差分（推定）
2013.09,M,B65F 2210/15,B65F 2210/15,,Marking means,Scheme XML差分（推定）
2013.09,M,B65F 2210/152,B65F 2210/152,,Material detecting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/1522,B65F 2210/1522,,for glass,Scheme XML差分（推定）
2013.09,M,B65F 2210/1525,B65F 2210/1525,,for metal,Scheme XML差分（推定）
2013.09,M,B65F 2210/1527,B65F 2210/1527,,for plastics,Scheme XML差分（推定）
2013.09,M,B65F 2210/156,B65F 2210/156,,Mousetraps,Scheme XML差分（推定）
2013.09,M,B65F 2210/16,B65F 2210/16,,Music playing devices,Scheme XML差分（推定）
2013.09,M,B65F 2210/162,B65F 2210/162,,Pressing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/164,B65F 2210/164,,Printers,Scheme XML差分（推定）
2013.09,M,B65F 2210/165,B65F 2210/165,,Remote controls,Scheme XML差分（推定）
2013.09,M,B65F 2210/167,B65F 2210/167,,Sealing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/1675,B65F 2210/1675,,"by twisting, e.g. of a flexible tube",Scheme XML差分（推定）
2013.09,M,B65F 2210/168,B65F 2210/168,,Sensing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/169,B65F 2210/169,,Shredding means,Scheme XML差分（推定）
2013.09,M,B65F 2210/17,B65F 2210/17,,Smoke detecting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/172,B65F 2210/172,,Solar cells,Scheme XML差分（推定）
2013.09,M,B65F 2210/176,B65F 2210/176,,Sorting means,Scheme XML差分（推定）
2013.09,M,B65F 2210/178,B65F 2210/178,,Steps,Scheme XML差分（推定）
2013.09,M,B65F 2210/179,B65F 2210/179,,"Suction means, e.g. for forcing a bag inside the
                                receptacle",Scheme XML差分（推定）
2013.09,M,B65F 2210/1795,B65F 2210/1795,,"for sucking off dust particles during insertion
                                    of refuse in the receptacle",Scheme XML差分（推定）
2013.09,M,B65F 2210/18,B65F 2210/18,,Suspending means,Scheme XML差分（推定）
2013.09,M,B65F 2210/181,B65F 2210/181,,"Ventilating means, e.g. holes",Scheme XML差分（推定）
2013.09,M,B65F 2210/1815,B65F 2210/1815,,for assisting the removal of a liner,Scheme XML差分（推定）
2013.09,M,B65F 2210/182,B65F 2210/182,,Volume determining means,Scheme XML差分（推定）
2013.09,M,B65F 2210/183,B65F 2210/183,,"Volume reducing means, e.g. inserts",Scheme XML差分（推定）
2013.09,M,B65F 2210/184,B65F 2210/184,,Weighing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/188,B65F 2210/188,,Vacuum drawing means,Scheme XML差分（推定）
2013.09,M,B65F 2210/196,B65F 2210/196,,Tape dispensers,Scheme XML差分（推定）
2013.09,M,B65F 2210/02,B65F 2210/02,,Temperature sensing means,Scheme XML差分（推定）
2013.09,M,B65F 2220/00,B65F 2220/00,,Properties of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2220/101,B65F 2220/101,,assembled from a plurality of panels,Scheme XML差分（推定）
2013.09,M,B65F 2220/102,B65F 2220/102,,assembled from a blank,Scheme XML差分（推定）
2013.09,M,B65F 2220/104,B65F 2220/104,,Bomb resistant,Scheme XML差分（推定）
2013.09,M,B65F 2220/106,B65F 2220/106,,Collapsible,Scheme XML差分（推定）
2013.09,M,B65F 2220/1063,B65F 2220/1063,,foldable,Scheme XML差分（推定）
2013.09,M,B65F 2220/1066,B65F 2220/1066,,telescopic,Scheme XML差分（推定）
2013.09,M,B65F 2220/108,B65F 2220/108,,connectable,Scheme XML差分（推定）
2013.09,M,B65F 2220/112,B65F 2220/112,,floatable,Scheme XML差分（推定）
2013.09,M,B65F 2220/116,B65F 2220/116,,inflatable,Scheme XML差分（推定）
2013.09,M,B65F 2220/12,B65F 2220/12,,nestable,Scheme XML差分（推定）
2013.09,M,B65F 2220/122,B65F 2220/122,,Poster resistant surface,Scheme XML差分（推定）
2013.09,M,B65F 2220/124,B65F 2220/124,,stackable,Scheme XML差分（推定）
2013.09,M,B65F 2220/128,B65F 2220/128,,transparent,Scheme XML差分（推定）
2013.09,M,B65F 2230/00,B65F 2230/00,,Shapes of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2230/104,B65F 2230/104,,Amphora,Scheme XML差分（推定）
2013.09,M,B65F 2230/108,B65F 2230/108,,Animal,Scheme XML差分（推定）
2013.09,M,B65F 2230/112,B65F 2230/112,,Bottle,Scheme XML差分（推定）
2013.09,M,B65F 2230/116,B65F 2230/116,,Can,Scheme XML差分（推定）
2013.09,M,B65F 2230/12,B65F 2230/12,,Fence,Scheme XML差分（推定）
2013.09,M,B65F 2230/124,B65F 2230/124,,Golf ball,Scheme XML差分（推定）
2013.09,M,B65F 2230/126,B65F 2230/126,,Hexagonal,Scheme XML差分（推定）
2013.09,M,B65F 2230/127,B65F 2230/127,,House,Scheme XML差分（推定）
2013.09,M,B65F 2230/128,B65F 2230/128,,Human,Scheme XML差分（推定）
2013.09,M,B65F 2230/132,B65F 2230/132,,Mushroom,Scheme XML差分（推定）
2013.09,M,B65F 2230/134,B65F 2230/134,,Oval,Scheme XML差分（推定）
2013.09,M,B65F 2230/135,B65F 2230/135,,Potted plant,Scheme XML差分（推定）
2013.09,M,B65F 2230/136,B65F 2230/136,,Pyramide,Scheme XML差分（推定）
2013.09,M,B65F 2230/14,B65F 2230/14,,Robot,Scheme XML差分（推定）
2013.09,M,B65F 2230/144,B65F 2230/144,,Seat,Scheme XML差分（推定）
2013.09,M,B65F 2230/148,B65F 2230/148,,Sleeve,Scheme XML差分（推定）
2013.09,M,B65F 2230/15,B65F 2230/15,,Sleeve having a disconnectable bottom,Scheme XML差分（推定）
2013.09,M,B65F 2230/152,B65F 2230/152,,Triangular,Scheme XML差分（推定）
2013.09,M,B65F 2230/156,B65F 2230/156,,Wave-like,Scheme XML差分（推定）
2013.09,M,B65F 2240/00,B65F 2240/00,,Types of refuse receptacles,Scheme XML差分（推定）
