改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A41D 13/00 102,,・グループＡ４１Ｄ１３／００，１０７～Ａ４１Ｄ１３／１２，１９０に属さない防護衣の細部
uploaded,新設,,A41D 13/00 105,,・・係合部
uploaded,新設,,A41D 13/00 107,,・内蔵装着具を有する衣服
uploaded,新設,,A41D 13/00 110,,・虫よけ用の衣服
uploaded,新設,,A41D 13/00 112,,・特定用途用ポケット，例．ゲーム用ポケット，を備える，または工具または同類のものの保持手段を備える職業用または防護用衣服（Ａ４１Ｄ１３／００５，１０８が優先）
uploaded,新設,,A41D 13/00 115,,・グループＡ４１Ｄ１３／００，１０７～Ａ４１Ｄ１３／０８，１０８に属するもの以外のスポーツ用衣服（スポーツ用オーバーオールＡ４１Ｄ１３／０２）
uploaded,新設,,A41D 13/00 117,,・・婦人用に特に適合したもの
uploaded,新設,,A41D 13/002,,・衣服内環境が調整されるもの［７］
uploaded,新設,,A41D 13/002 105,,・・強制空気循環手段によるもの
uploaded,新設,,A41D 13/005,,・・温度が調整されるもの［７］
uploaded,新設,,A41D 13/005 101,,・・・加熱衣服
uploaded,新設,,A41D 13/005 103,,・・・冷却衣服
uploaded,新設,,A41D 13/005 105,,・・・・ドライアイスによるもの
uploaded,新設,,A41D 13/005 106,,・・・・蒸発効果を利用したもの
uploaded,新設,,A41D 13/005 108,,・・・加熱または冷却要素のためのポケットを有するもの
uploaded,新設,,A41D 13/008,,・電気ショックまたは静電気から防護するもの［７］
uploaded,新設,,A41D 13/01,,・反射性または発光性の安全手段を有するもの［７］
uploaded,新設,,A41D 13/012,,・水上または水中での活動用，例．浮力が付加されたもの［７］
uploaded,新設,,A41D 13/012 105,,・・浮力を与える補助具を有するもの
uploaded,新設,,A41D 13/015,,・衝撃吸収手段を有するもの（Ａ４１Ｄ１３／０５が優先）［７］
uploaded,新設,,A41D 13/015 101,,・・反動パッド付狩猟服
uploaded,新設,,A41D 13/015 103,,・・蝶番または分離可能な部分を有するもの
uploaded,新設,,A41D 13/015 105,,・・膨張構造を有するもの，例．非自動式
uploaded,新設,,A41D 13/015 106,,・・複数の突出部が並んだもの
uploaded,新設,,A41D 13/015 108,,・・換気機能を有するもの
uploaded,新設,,A41D 13/018,,・・自動的に膨らむもの［７］
uploaded,新設,,A41D 13/04 103,,・・機械的攻撃に耐えるエプロン，例．肉屋のエプロン
uploaded,新設,,A41D 13/04 106,,・・弾力のある材料でできた１個以上の分割環帯により使用者に固定されるエプロン
uploaded,新設,,A41D 13/05,,・身体の特定部分のみを保護するもの（スポーツ用ブラジャーＡ４１Ｃ３／００）［７］
uploaded,新設,,A41D 13/05 106,,・・臀部の側部
uploaded,新設,,A41D 13/05 112,,・・首または肩の部分
uploaded,新設,,A41D 13/05 118,,・・胸部
uploaded,新設,,A41D 13/05 125,,・・腰部または腹部
uploaded,新設,,A41D 13/05 131,,・・背部
uploaded,新設,,A41D 13/05 136,,・・臀部の後部
uploaded,新設,,A41D 13/05 143,,・・脚（膝または足Ａ４１Ｄ１３／０６；競技者またはスポーツマンの脚の保護具Ａ６３Ｂ７１／１２）
uploaded,新設,,A41D 13/05 150,,・・保護具の固定，例．人体へ
uploaded,新設,,A41D 13/05 156,,・・・開放可能な固定手段を有するもの
uploaded,新設,,A41D 13/05 162,,・・・・面ファスナーを有するもの
uploaded,新設,,A41D 13/05 168,,・・・・紐を有するもの
uploaded,新設,,A41D 13/05 175,,・・・・開放可能なポケット内のもの
uploaded,新設,,A41D 13/05 181,,・・・永久的な固定手段を有するもの
uploaded,新設,,A41D 13/05 187,,・・・・衣服と一体のもの
uploaded,新設,,A41D 13/05 193,,・・・・密封されたポケット内のもの
uploaded,新設,,A41D 13/06 105,,・・・膝の保護具
uploaded,新設,,A41D 13/08 101,,・・・手の保護具
uploaded,新設,,A41D 13/08 102,,・・・・特に手の内側用のもの
uploaded,新設,,A41D 13/08 104,,・・・・特に手の外側用のもの
uploaded,新設,,A41D 13/08 105,,・・・・取っ手または棒用に少なくとも１個の穴を有するもの
uploaded,新設,,A41D 13/08 107,,・・・・特に指用のもの
uploaded,新設,,A41D 13/08 108,,・・・・特に手首用のもの
uploaded,新設,,A41D 13/11,,・・保護用の顔面マスク，例．外科医用，または汚れた空気中で使用するもの（アイマスクＡ６１Ｆ９／０４）［７］
uploaded,新設,,A41D 13/11 A,,形状で特徴付けられるもの
uploaded,新設,,A41D 13/11 B,,・水平のひだ入りポケット付のもの
uploaded,新設,,A41D 13/11 C,,・カモノハシ的形状のもの
uploaded,新設,,A41D 13/11 D,,・垂直の折り目または結合部を有するもの
uploaded,新設,,A41D 13/11 E,,・カップ的形状のもの
uploaded,新設,,A41D 13/11 F,,・・成型により得られるもの
uploaded,新設,,A41D 13/11 G,,・フード付のもの
uploaded,新設,,A41D 13/11 H,,使用者の頭部に留める手段
uploaded,新設,,A41D 13/11 J,,・接着剤を使用するもの
uploaded,新設,,A41D 13/11 K,,・・マスクの縁を完全に密閉するもの
uploaded,新設,,A41D 13/11 L,,眼の防護付のもの
uploaded,新設,,A41D 13/11 M,,抗菌剤を有するもの
uploaded,新設,,A41D 13/11 Z,,その他のもの
uploaded,新設,,A41D 13/12 109,,・・外科医用ガウンまたは衣服
uploaded,新設,,A41D 13/12 118,,・・・頭または顔を保護するもの
uploaded,新設,,A41D 13/12 127,,・・・防水の袖を有するもの
uploaded,新設,,A41D 13/12 136,,・・患者用衣服
uploaded,新設,,A41D 13/12 145,,・・・身体の上部用のもの
uploaded,新設,,A41D 13/12 154,,・・・身体の下部用のもの
uploaded,新設,,A41D 13/12 163,,・・・上下揃いのもの
uploaded,新設,,A41D 13/12 172,,・・・特に赤ん坊に適合したもの
uploaded,新設,,A41D 13/12 181,,・・・医用監視用手段を組み入れたもの
uploaded,新設,,A41D 13/12 190,,・・着用を容易にするもの
uploaded,新設,,A47J 31/00 101,,・給茶機，例．大量煎出用（コーヒー用，汎用Ａ４７Ｊ３１／００，３０７）
uploaded,新設,,A47J 31/00 103,,・配管式給茶装置，例．回転寿司店に設置されたもの
uploaded,新設,,A47J 31/00 106,,・茶の湯の道具
uploaded,新設,,A47J 31/00 201,,・水出しコーヒー製造装置
uploaded,新設,,A47J 31/00 302,,・特定の作動シーケンスに従うもの，例．抽出生成物の味を改善するためのもの，抽出制御に特徴のあるもの
uploaded,新設,,A47J 31/00 305,,・携帯用飲料製造装置または簡易飲料製造装置，例．旅行用または自動車内用のもの
uploaded,新設,,A47J 31/00 307,,・大量に抽出するためのもの，例．レストラン用，複数の抽出容器を使用するためのもの
uploaded,新設,,A47J 31/057 103,,・・・貫流加熱器を有するもの（飲料製造装置内の湯わかし容器の一部としての貫流加熱器Ａ４７Ｊ３１／５４，１００）
uploaded,新設,,A47J 31/057 106,,・・・蒸気圧で温水が上昇パイプ内を通るように促す気密湯わかし容器を有するもの（圧力下での抽出に適した抽出容器を有するものＡ４７Ｊ３１／３０）
uploaded,新設,,A47J 31/06 101,,・・茶こし，例．飲料容器上で使用するものであって，湯水に浸けないもの
uploaded,新設,,A47J 31/06 103,,・・急須用茶こし
uploaded,新設,,A47J 31/06 105,,・・魔法瓶用，ポット用またはケトル用のもの，例．魔法瓶の内部または注出口に取付けて使用する茶こし
uploaded,新設,,A47J 31/06 110,,・・フィルター出口に弁を有するもの；ドリップを止める装置（Ａ４７Ｊ３１／０６，１４０，Ａ４７Ｊ３１／０６，１５０が優先）
uploaded,新設,,A47J 31/06 115,,・・・飲料容器によって作動されるもの
uploaded,新設,,A47J 31/06 120,,・・浸出液をフィルター上により良好または迅速に散布するための手段を有するもの（ドリップ式コーヒーメーカー用散布板Ａ４７Ｊ３１／４４，１９３）
uploaded,新設,,A47J 31/06 130,,・・調整された浸出物に接触した状態を保持するように飲料容器の頂部から吊り下げられるもの
uploaded,新設,,A47J 31/06 140,,・・茶または類似のものを作るための特殊装置を有するもの，例．浸出液が流れ出る前に所定の時間フィルター内に保持されるもの
uploaded,新設,,A47J 31/06 150,,・・浸出流出速度を変えるための手段を有するもの，例．より少量を抽出するためのもの
uploaded,新設,,A47J 31/06 160,,・・フィルターホルダを飲料容器に固定するための手段を有するもの（飲料製造装置への取付けＡ４７Ｊ３１／４４，１８０）
uploaded,新設,,A47J 31/06 210,,・・カートリッジと協働するのに特に適合するもの，例．カートリッジを抽出チャンバの底部から離すための溝または凸部を有するもの（Ａ４７Ｊ３１／０６，３２０が優先）
uploaded,新設,,A47J 31/06 220,,・・異なる量の抽出材料を収容するために抽出チャンバの体積を調節する手段を有するもの
uploaded,新設,,A47J 31/06 230,,・・多量の水をバイパスする手段を有するもの，例．飲料の濃度の調節
uploaded,新設,,A47J 31/06 300,,・・圧力下でコーヒーを抽出するためのもの，例．エスプレッソマシン用（紙製Ａ４７Ｊ３１／０８）
uploaded,新設,,A47J 31/06 310,,・・・容器に入っていないコーヒーに使用されるもの（Ａ４７Ｊ３１／０６，３４０が優先）
uploaded,新設,,A47J 31/06 320,,・・・カートリッジに特に適合するもの
uploaded,新設,,A47J 31/06 323,,・・・・飲料の出口を作るためにカートリッジを穿孔する手段（湯の入口を作るためにカートリッジを穿孔する手段Ａ４７Ｊ３１／３６，１２２，Ａ４７Ｊ３１／３６，３２８）
uploaded,新設,,A47J 31/06 328,,・・・・カートリッジを抽出チャンバの底部から離す手段，例．溝または凸部
uploaded,新設,,A47J 31/06 330,,・・・フィルターホルダを抽出ヘッドにシールするためのシール手段
uploaded,新設,,A47J 31/06 340,,・・・抽出材料を充填するために開き，抽出材料を密封するために閉じるのに適した再利用可能なカートリッジ
uploaded,新設,,A47J 31/06 410,,・・テープ形状のフィルターを移動させる手段を有するもの
uploaded,新設,,A47J 31/08 105,,・・・圧力下でコーヒーを抽出するために使用されるもの，例．エスプレッソマシン用
uploaded,新設,,A47J 31/01 103,,・・水加熱容器の中にサイフォンを有するもの
uploaded,新設,,A47J 31/01 106,,・・水加熱容器の排出口に弁を有するもの
uploaded,新設,,A47J 31/03 100,,・・・古典的なエスプレッソ装置，例．ストーブの上に置かれるもの，すなわち水は下部の気密沸騰容器内で加熱され，蒸気圧によって上昇パイプおよび抽出チャンバを通り，次に湯わかし器の上部の飲料容器内に集められるもの
uploaded,新設,,A47J 31/03 110,,・・・・組込みの電気的加熱手段を有するもの
uploaded,新設,,A47J 31/36 100,,・・・・積載，浸出，排出ステーション間を抽出チャンバが移動するよう配置された機構を有するもの
uploaded,新設,,A47J 31/36 110,,・・・・・容器に入っていないコーヒーの使用（ろ過するテープを有するものＡ４７Ｊ３１／３６，１３２）
uploaded,新設,,A47J 31/36 114,,・・・・・・積載位置から浸出位置まで搬送する手段
uploaded,新設,,A47J 31/36 119,,・・・・・・抽出後にコーヒーを取り除く手段
uploaded,新設,,A47J 31/36 120,,・・・・・カートリッジの使用（カートリッジのテープを有するものＡ４７Ｊ３１／３６，１３２）
