改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01D 34/416 100,,・・・・線状体の繰り出し機構
uploaded,新設,,A01D 34/416 110,,・・・・線状体の取り付けまたは着脱に特徴を有するもの
uploaded,新設,,A01D 34/416 120,,・・・・線状体の構造または組成に特徴を有するもの
uploaded,新設,,A01D 34/09 A,,刈払機，すなわち機体主要部を操作者が支持するもの
uploaded,新設,,A01D 34/09 B,,・駆動源，例．モーター，エンジン，燃料タンク，バッテリ，の配置またはそれらの操作部，例．スロットルレバー，計器，に特徴のあるもの
uploaded,新設,,A01D 34/09 C,,・刈刃カバー部に特徴のあるもの
uploaded,新設,,A01D 34/09 D,,・防振構造に特徴のあるもの
uploaded,新設,,A01D 34/09 E,,・握り部，ハンドルまたはその取付部に特徴のあるもの
uploaded,新設,,A01D 34/09 F,,・背負具または吊りバンドに特徴のあるもの
uploaded,新設,,A01D 34/09 G,,・車輪またはソリ部に特徴のあるもの
uploaded,新設,,A01D 34/09 H,,・刈取以外の用途にも使用するもの
uploaded,新設,,A01D 34/09 J,,・刈払機用の付属具，例．収納容器
uploaded,新設,,A01D 34/09 N,,・操作桿及び操作桿と他部材の連結構造に特徴のあるもの
uploaded,新設,,A01D 34/09 P,,・巻付き防止構造に特徴のあるもの
uploaded,新設,,A01D 34/09 Z,,その他のもの
uploaded,新設,,A01D 41/12 H,,・排気関連装置，例．マフラー，排ガス浄化装置（排気関連装置一般Ｆ０１Ｎ；車両における排気関連装置の配置Ｂ６０Ｋ１３／００）
uploaded,新設,,A01D 41/12 N,,・燃料タンク（車両における燃料タンクの配置Ｂ６０Ｋ１５／００）
uploaded,新設,,A01D 41/12 Q,,・吸気関連装置，例．吸気管，エアクリーナー（吸気関連装置一般Ｆ０２Ｍ３５／００；特に車両への適用Ｆ０２Ｍ３５／１６）
uploaded,新設,,A01D 41/12 R,,・冷却関連装置，例．ラジエータ，冷却ファン（エンジンの冷却一般Ｆ０１Ｐ；車両におけるエンジン冷却装置の配置Ｂ６０Ｋ１１／００）
uploaded,新設,,A01D 41/127 100,,・・・穀粒の重量の測定
uploaded,新設,,A01D 41/127 110,,・・・穀粒の流量の測定，例．穀粒ロス量，タンクへの投入量，タンクからの排出量の測定
uploaded,新設,,A01D 41/127 120,,・・・穀粒の容積の測定，例．タンク内の穀粒レベルの測定
uploaded,新設,,A01D 41/127 130,,・・・穀粒の品質の測定，例．水分量，栄養成分の含有量の測定
uploaded,新設,,A01D 41/127 140,,・・・測定データを位置情報と関連づけるもの，例．収量・品質マップの作成
uploaded,新設,,A01D 43/063 100,,・・・袋状の容器
uploaded,新設,,A01D 43/063 110,,・・・容器の取付け構造
uploaded,新設,,A01D 43/063 115,,・・・・容器が着脱自在であるもの
uploaded,新設,,A01H 6/00,,被子植物，すなわち，顕花植物で，植物分類学により特徴付けられるもの［２０１８．０１］
uploaded,新設,,A01H 6/02,,・ヒユ科またはアカザ科，例．ビートまたはホウレンソウ［２０１８．０１］
uploaded,新設,,A01H 6/04,,・ヒガンバナ科，例．タマネギ［２０１８．０１］
uploaded,新設,,A01H 6/06,,・セリ科，例．セロリまたはニンジン［２０１８．０１］
uploaded,新設,,A01H 6/08,,・キョウチクトウ科，例．ニチニチソウ属［２０１８．０１］
uploaded,新設,,A01H 6/01,,・サトイモ科，例．オランダカイウ属［２０１８．０１］
uploaded,新設,,A01H 6/12,,・キジカクシ科，例．ギボウシ属［２０１８．０１］
uploaded,新設,,A01H 6/14,,・キク科，例．ベニバナ，ヒマワリ，チョウセンアザミまたはレタス［２０１８．０１］
uploaded,新設,,A01H 6/16,,・ツリフネソウ科，例．インパチェンス［２０１８．０１］
uploaded,新設,,A01H 6/18,,・シュウカイドウ科，例．ベゴニア［２０１８．０１］
uploaded,新設,,A01H 6/02,,・アブラナ科，例．キャノーラ，ブロッコリーまたはルッコラ［２０１８．０１］
uploaded,新設,,A01H 6/22,,・パイナップル科［２０１８．０１］
uploaded,新設,,A01H 6/24,,・サボテン科，例．サボテンまたはイースターサボテン［２０１８．０１］
uploaded,新設,,A01H 6/26,,・キキョウ科［２０１８．０１］
uploaded,新設,,A01H 6/28,,・アサ科，例．アサ［２０１８．０１］
uploaded,新設,,A01H 6/03,,・ナデシコ科［２０１８．０１］
uploaded,新設,,A01H 6/32,,・ベンケイソウ科［２０１８．０１］
uploaded,新設,,A01H 6/34,,・ウリ科，例．ゴーヤ，キュウリまたはスイカ［２０１８．０１］
uploaded,新設,,A01H 6/36,,・ツツジ科，例．ツツジ，クランベリーまたはブルーベリー［２０１８．０１］
uploaded,新設,,A01H 6/38,,・トウダイグサ科，例．ポインセチア［２０１８．０１］
uploaded,新設,,A01H 6/04,,・リンドウ科，例．エキザカム［２０１８．０１］
uploaded,新設,,A01H 6/42,,・フウロソウ科，例．ゼラニウム［２０１８．０１］
uploaded,新設,,A01H 6/44,,・イワタバコ科，例．セントポーリア［２０１８．０１］
uploaded,新設,,A01H 6/46,,・イネ科，例．ライグラス，コメ，コムギまたはトウモロコシ［２０１８．０１］
uploaded,新設,,A01H 6/48,,・アジサイ科，例．アジサイ［２０１８．０１］
uploaded,新設,,A01H 6/05,,・シソ科，例．ラベンダー，ハッカまたはチア［２０１８．０１］
uploaded,新設,,A01H 6/52,,・クスノキ科，例．アボカド［２０１８．０１］
uploaded,新設,,A01H 6/54,,・マメ科，例．ダイズ，ムラサキウマゴヤシまたはピーナッツ［２０１８．０１］
uploaded,新設,,A01H 6/56,,・ユリ科，例．アルストロメリア属またはユリ属［２０１８．０１］
uploaded,新設,,A01H 6/58,,・アマ科，例．アマ［２０１８．０１］
uploaded,新設,,A01H 6/06,,・アオイ科，例．ワタまたはハイビスカス［２０１８．０１］
uploaded,新設,,A01H 6/62,,・ラン科［２０１８．０１］
uploaded,新設,,A01H 6/64,,・ケシ科，例．ケシ［２０１８．０１］
uploaded,新設,,A01H 6/66,,・ゴマ科，例．ゴマ［２０１８．０１］
uploaded,新設,,A01H 6/68,,・オオバコ科，例．キンギョソウ［２０１８．０１］
uploaded,新設,,A01H 6/07,,・ハナシノブ科，例．フロックス［２０１８．０１］
uploaded,新設,,A01H 6/72,,・キンポウゲ科，例．クレマチス［２０１８．０１］
uploaded,新設,,A01H 6/74,,・バラ科，例．イチゴ，リンゴ，アーモンド，セイヨウナシ，バラ，ブラックベリーまたはラズベリー［２０１８．０１］
uploaded,新設,,A01H 6/76,,・アカネ科，例．ペンタス［２０１８．０１］
uploaded,新設,,A01H 6/78,,・ミカン科，例．レモンまたはライム［２０１８．０１］
uploaded,新設,,A01H 6/08,,・ユキノシタ科，例．ツボサンゴ属［２０１８．０１］
uploaded,新設,,A01H 6/82,,・ナス科，例．コショウ，タバコ，ジャガイモ，トマトまたはナス［２０１８．０１］
uploaded,新設,,A01H 6/84,,・イラクサ科，例．カラムシ［２０１８．０１］
uploaded,新設,,A01H 6/86,,・クマツヅラ科，例．バーベナ［２０１８．０１］
uploaded,新設,,A01H 6/88,,・ブドウ科，例．ビチス属，すなわちブドウ属［２０１８．０１］
uploaded,新設,,A01N 43/824,,・・・１，３，４―オキサジアゾール；１，３，４―チアジアゾール；水素添加１，３，４―オキサジアゾール；水素添加１，３，４―チアジアゾール［６］
uploaded,新設,,A01N 43/824 A,,環の炭素原子に，炭素原子が直接結合したもの
uploaded,新設,,A01N 43/824 B,,環の炭素原子に，酸素原子または硫黄原子が直接結合したもの
uploaded,新設,,A01N 43/824 C,,・酸素原子または硫黄原子が，水酸基，メルカプト基，オキソ基またはチオキソ基の一部であるもの
uploaded,新設,,A01N 43/824 D,,環の炭素原子に，窒素原子が直接結合したもの
uploaded,新設,,A01N 43/824 E,,環の炭素原子に，複素環が直接結合したもの
uploaded,新設,,A01N 43/824 Z,,その他のもの
uploaded,新設,,A01N 43/828,,・・・１，２，３―オキサジアゾール；１，２，３―チアジアゾール；水素添加１，２，３―オキサジアゾール；水素添加１，２，３―チアジアゾール［６］
uploaded,新設,,A01N 43/832,,・・・１，２，５―オキサジアゾール；１，２，５―チアジアゾール；水素添加１，２，５―オキサジアゾール；水素添加１，２，５―チアジアゾール［６］
uploaded,新設,,A01N 43/836,,・・・１，２，４―オキサジアゾール；１，２，４―チアジアゾール；水素添加１，２，４―オキサジアゾール；水素添加１，２，４―チアジアゾール［６］
uploaded,新設,,A01N 53/02,,・「図」＊印のついた炭素原子が非環式か，環または環系の一部であるような基を含むエステル；そのチオ類似体［６］
uploaded,新設,,A01N 53/04,,・・複素環を有するもの［６］
uploaded,新設,,A01N 53/04 100,,・・・シクロプロパンカルボン酸エステルの酸部分にのみ複素環を有するもの
uploaded,新設,,A01N 53/04 200,,・・・シクロプロパンカルボン酸エステルのアルコール部分に複素環を有するもの
uploaded,新設,,A01N 53/04 300,,・・・・＊印のついた炭素原子が非環式で，複素環または複素環系に直接結合したものであって，＊印のついた炭素原子に直接結合する環が６員の芳香族環ではないもの
uploaded,新設,,A01N 53/04 400,,・・・・・複素環または複素環系が，環異項原子として酸素原子または硫黄原子のみを有するもの
uploaded,新設,,A01N 53/04 410,,・・・・・・複素環または複素環系上に，アリール基またはアリールアルキル基が結合したもの
uploaded,新設,,A01N 53/04 500,,・・・・・複素環または複素環系が，環異項原子として窒素原子のみを有するもの
uploaded,新設,,A01N 53/04 510,,・・・・・・複素環または複素環系が，フタルイミドであって，複素環側で＊印の付いた炭素原子に結合しているもの
uploaded,新設,,A01N 53/04 520,,・・・・・・複素環が２，４―イミダゾリジンジオンであるもの
uploaded,新設,,A01N 53/04 600,,・・・・・複素環または複素環系が，環異項原子として窒素原子と酸素原子または硫黄原子とを有するもの
uploaded,新設,,A01N 53/06,,・・＊印のついた炭素原子が非環式で，６員の芳香族環の炭素原子に直接結合したもの，例．ベンジルエステル；そのチオ類似体［６］
uploaded,新設,,A01N 53/06 100,,・・・６員の芳香族環が，単環であるもの
uploaded,新設,,A01N 53/06 110,,・・・・単環の６員芳香族環に，ハロゲンが結合したもの
uploaded,新設,,A01N 53/06 120,,・・・・単環の６員芳香族環に，酸素原子または硫黄原子が結合したもの（アリールオキシ基が結合したものＡ０１Ｎ５３／０８）
uploaded,新設,,A01N 53/06 130,,・・・・単環の６員芳香族環に，窒素原子が結合したもの
uploaded,新設,,A01N 53/06 140,,・・・・単環の６員芳香族環に，環が直接結合したもの
uploaded,新設,,A01N 53/06 150,,・・・・・単環の６員芳香族環がベンゼン環であり，さらにフェニル基が結合したもの，例．ビフェントリン
uploaded,新設,,A01N 53/06 200,,・・・６員の芳香族環が，他の環と縮合しているもの
uploaded,新設,,A01N 53/08,,・・・６員の芳香族環に結合したアリールオキシ基を有するもの，例．フェノキシベンジルエステル；そのチオ類似体［６］
uploaded,新設,,A01N 53/08 100,,・・・・６員の芳香族環が，単環であるもの
uploaded,新設,,A01N 53/08 110,,・・・・・シクロプロパンカルボン酸エステルの酸部分に不飽和結合を有するもの
uploaded,新設,,A01N 53/08 120,,・・・・・・不飽和結合を形成する炭素原子にハロゲンが結合するもの
uploaded,新設,,A01N 53/08 125,,・・・・・・・ジクロルビニル基であるもの
uploaded,新設,,A01N 53/08 130,,・・・・・シクロプロパンカルボン酸エステルの酸部分に，さらに環を有するもの
uploaded,新設,,A01N 53/08 200,,・・・・６員の芳香族環が，他の環と縮合しているもの
uploaded,新設,,A01N 53/01,,・・Ａ０１Ｎ５３／０４またはＡ０１Ｎ５３／０６のグループに分類されないエステル［６］
uploaded,新設,,A01N 53/01 100,,・・・シクロプロパンカルボン酸エステルのアルコール部分が，鎖状の不飽和炭化水素基を有するもの
uploaded,新設,,A01N 53/01 200,,・・・シクロプロパンカルボン酸エステルのアルコール部分が，縮合していない脂肪族環を有するもの
uploaded,新設,,A01N 53/01 210,,・・・・４―オキソ―２―シクロペンテン―１―イルエステル構造を有するもの，例．ピレトリン
uploaded,新設,,A01N 53/01 300,,・・・シクロプロパンカルボン酸エステルのアルコール部分が，炭素環と縮合した脂肪族環を有するもの
uploaded,新設,,A01N 53/12,,・「図」においてＸまたはＹの少なくとも１つが窒素原子である基を含む化合物，例．シクロプロパンカルボン酸アミド［６］
uploaded,新設,,A01N 53/14,,・シクロプロパンカルボン酸ニトリル［６］
uploaded,新設,,A01N 55/02 100,,・・ヒ素
uploaded,新設,,A01N 55/02 110,,・・鉛
uploaded,新設,,A01N 55/02 120,,・・カドミウム
uploaded,新設,,A01N 55/02 130,,・・ニッケル
uploaded,新設,,A01N 55/02 140,,・・ビスマス
uploaded,新設,,A01N 55/02 150,,・・亜鉛
uploaded,新設,,A01N 55/02 160,,・・銅
uploaded,新設,,A01N 55/04 100,,・・・スズに炭素原子のみが結合しているもの
uploaded,新設,,A01N 55/04 200,,・・・スズに酸素原子が結合しているもの
uploaded,新設,,A01N 55/04 210,,・・・・酸素原子が水酸基の一部であるもの
uploaded,新設,,A01N 55/04 220,,・・・・Ｓｎ－Ｏ－Ｓｎの構造を有するもの
uploaded,新設,,A01N 55/04 230,,・・・・Ｓｎ－Ｏ－ＣＯ－の構造を有するもの
uploaded,新設,,A01N 55/04 300,,・・・スズに硫黄原子が結合しているもの
uploaded,新設,,A01N 55/04 400,,・・・スズにハロゲン原子が結合しているもの
uploaded,新設,,A01N 55/04 500,,・・・スズに窒素原子が結合しているもの
uploaded,新設,,A01N 55/04 600,,・・・スズを含む高分子化合物
uploaded,新設,,A01N 55/01,,・ケイ素を含むもの［６］
uploaded,新設,,A01N 55/01 100,,・・ケイ素に，炭素原子が結合した酸素原子３個と，炭素原子１個が結合しているもの
uploaded,新設,,A01N 55/01 200,,・・ケイ素に，炭素原子３個と，酸素原子１個が結合しているもの
uploaded,新設,,A01N 55/01 300,,・・ケイ素に４個の炭素原子が結合しているもの
uploaded,新設,,A01N 55/01 400,,・・ケイ素に窒素原子が結合しているもの
uploaded,新設,,A01N 55/01 500,,・・Ｓｉ－Ｏ－Ｓｉの構造を有するもの
uploaded,新設,,A23B 4/00 505,,・節類
uploaded,新設,,A23B 4/00 505 A,,削り節；魚節粉末
uploaded,新設,,A23B 4/00 505 B,,シート状
uploaded,新設,,A23B 4/00 505 Z,,その他のもの
uploaded,新設,,A23B 4/005,,・加熱による保存［５］
uploaded,新設,,A23B 4/01,,・・照射または電気的処理によるもの［５］
uploaded,新設,,A23B 4/015,,・加熱効果のない照射または電気的処理による保存［５］
uploaded,新設,,A23B 4/023,,・・食塩または，それと無機または有機化合物との混合物によるもの［５］
uploaded,新設,,A23B 4/023 A,,塩蔵
uploaded,新設,,A23B 4/023 B,,・塩漬
uploaded,新設,,A23B 4/023 C,,・塩辛
uploaded,新設,,A23B 4/023 Z,,その他のもの
uploaded,新設,,A23B 4/027,,・・食塩以外の無機塩または，それと有機化合物，例．生化学化合物，との混合物によるもの［５］
uploaded,新設,,A23B 4/03,,・乾燥；その後の再生［５］
uploaded,新設,,A23B 4/03 501,,・・乾燥または乾製品
uploaded,新設,,A23B 4/03 501 A,,乾燥工程に特徴のあるもの
