改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01G 23/04 504,,・・・根鉢の支持構造
uploaded,新設,,A01K 1/01 801,,・・ペット用便器（携帯用便器はＡ０１Ｋ２３／００＠Ｂ）
uploaded,新設,,A01K 1/01 801 A,,上下複数段の受け部を有するもの
uploaded,新設,,A01K 1/01 801 B,,吸収性シートのみを用いる薄型の受け部を有するもの（Ａ０１Ｋ１０１，８０１＠Ｃ優先）
uploaded,新設,,A01K 1/01 801 C,,縦型のもの，例．雄犬用
uploaded,新設,,A01K 1/01 801 D,,水洗式，人間用便器に取り付けるもの
uploaded,新設,,A01K 1/01 801 E,,載置された排泄物を移送する搬送部材を有するもの
uploaded,新設,,A01K 1/01 801 F,,処理材中の糞を除去もしくは処理材を攪拌する部材を有するもの，例．レーキ，ふるい等
uploaded,新設,,A01K 1/01 801 G,,付属品，付属構造に特徴のあるもの
uploaded,新設,,A01K 1/01 801 H,,・脱臭または換気を行うもの
uploaded,新設,,A01K 1/01 801 J,,・糞尿や処理材の飛散を防止するもの，例．カバー，足についた処理材を落とすマット等
uploaded,新設,,A01K 1/01 801 K,,・処理材を補充するためのもの
uploaded,新設,,A01K 1/01 801 L,,・ペット用便器に用いるスコップ
uploaded,新設,,A01K 1/01 801 Z,,その他のもの
uploaded,新設,,A01K 1/015 D,,・排泄物処理用以外のもの
uploaded,新設,,A01K 1/02 E,,ペットサークル
uploaded,新設,,A01K 11/00 C,,・耳標
uploaded,新設,,A01K 11/00 D,,・電子的な手段を有するもの
uploaded,新設,,A01K 11/00 E,,動物を識別する装置または方法
uploaded,新設,,A01K 13/00 H,,・動物の体の主要部を覆う衣服
uploaded,新設,,A01K 13/00 J,,・・付加的な機能を有するもの（防雨はＡ０１Ｋ１３／００＠Ｂ，防虫はＡ０１Ｋ１３／００＠Ｃ）
uploaded,新設,,A01K 13/00 K,,・動物用靴など特定部位を覆うもの（おむつカバーはＡ０１Ｋ２３／００＠Ｓ）
uploaded,新設,,A01K 13/00 L,,・ペットの抜け毛を収集するブラシその他の用具
uploaded,新設,,A01K 13/00 M,,・ペットの洗浄，乾燥または美容に関するもの
uploaded,新設,,A01K 13/00 N,,エリザベスカラー
uploaded,新設,,A01K 13/00 P,,動物用歯磨き具
uploaded,新設,,A01K 13/00 Q,,動物介護用具
uploaded,新設,,A01K 15/00 B,,動物の案内・誘導に特徴のあるもの
uploaded,新設,,A01K 15/02 A,,動物用玩具
uploaded,新設,,A01K 15/02 B,,・噛み物
uploaded,新設,,A01K 15/02 C,,・・食用のもの（Ａ２３Ｋも付与）
uploaded,新設,,A01K 15/02 D,,動物用遊具，例．キャットタワー
uploaded,新設,,A01K 15/02 E,,動物用運動装置
uploaded,新設,,A01K 15/02 F,,リハビリ等の補助具，例．車椅子
uploaded,新設,,A01K 15/02 G,,ペットが自発的に爪を研ぐ爪研ぎ具（人間が研ぐものはＡ０１Ｋ１３／００＠Ｇ）
uploaded,新設,,A01K 15/02 H,,吠えるのを防止する装置（口を押さえるものはＡ０１Ｋ２５／００）
uploaded,新設,,A01K 15/02 J,,電気ショックを与えるもの
uploaded,新設,,A01K 15/02 Z,,その他のもの
uploaded,新設,,A01K 15/04 A,,動きを阻止するもの（鳥類はＡ０１Ｋ３７／００，手術用はＡ６１Ｄ３／００，屠殺用はＡ２２Ｂ１／００）
uploaded,新設,,A01K 15/04 B,,通行を阻止するもの（牧柵はＡ０１Ｋ３／００，ペットサークルはＡ０１Ｋ１／０２）
uploaded,新設,,A01K 15/04 Z,,その他のもの
uploaded,新設,,A01K 23/00 E,,・一方向からすくい上げるもの，例．スコップ
uploaded,新設,,A01K 23/00 F,,・・糞の収納部材を装着したもの
uploaded,新設,,A01K 23/00 G,,・収納部に糞を掻き寄せる部材を備えるもの「図」
uploaded,新設,,A01K 23/00 H,,・・閉じる蓋の動作で糞を収納部に押し込むもの「図」「図」
uploaded,新設,,A01K 23/00 J,,・複数方向から糞を挟みまたはつかんで持ち上げるもの
uploaded,新設,,A01K 23/00 K,,・・両側の収納部で糞を包み込むもの「図」
uploaded,新設,,A01K 23/00 L,,・・袋またはシートを介して手で糞をつかむもの（さらに他の部材を介するものはＡ０１Ｋ２３／００＠Ｊ）
uploaded,新設,,A01K 23/00 M,,・糞取器で取り上げた糞を収納する容器
uploaded,新設,,A01K 23/00 N,,路上などの糞尿を薬剤などで処理するための用具
uploaded,新設,,A01K 23/00 P,,・底のない枠に袋を装着するもの
uploaded,新設,,A01K 23/00 Q,,・・枠が開閉可能なもの
uploaded,新設,,A01K 23/00 R,,・手に持たず地面に置いて用いるもの
uploaded,新設,,A01K 23/00 S,,ペット用おむつ
uploaded,新設,,A01K 27/00 B,,ハーネス
uploaded,新設,,A01K 27/00 C,,曳き綱
uploaded,新設,,A01K 27/00 D,,・巻取り手段を有するもの
uploaded,新設,,A01K 27/00 E,,連結具
uploaded,新設,,A01K 27/00 F,,光反射部材もしくは発光部材を有するもの
uploaded,新設,,A01K 29/00 A,,行動や状態の監視
uploaded,新設,,A01K 29/00 B,,・ペットを対象とするもの
uploaded,新設,,A01K 29/00 C,,実験・測定関連の装置
uploaded,新設,,A01K 29/00 D,,・家畜を対象とするもの
uploaded,新設,,A01K 29/00 E,,・ペットを対象とするもの
uploaded,新設,,A01K 29/00 F,,動物用装飾品
uploaded,新設,,A01K 29/00 G,,ペットが身に着けるバッグ
uploaded,新設,,A01K 29/00 H,,他のペット用具
uploaded,新設,,A01K 29/00 Z,,その他のもの
uploaded,新設,,A01K 63/00 H,,テラリュウム類
uploaded,新設,,A01K 67/00 E,,交配や遺伝子組換えによらないモデル動物の作出
uploaded,新設,,A01K 67/00 F,,ペットに関するもの（Ａ０１Ｋ１／００～２９／００優先）
uploaded,新設,,A47B 88/04,,・滑動引出し；そのためのスライドまたはガイド［２０１７．０１］
uploaded,新設,,A47B 88/403,,・・引出しのスライドがキャビネットの２以上の側面において引出し可能なもの［２０１７．０１］
uploaded,新設,,A47B 88/407,,・・調節可能にまたは着脱可能に取り付けられた引出し（Ａ４７Ｂ８８／４２３が優先）［２０１７．０１］
uploaded,新設,,A47B 88/41,,・・直下の表面，例．床，棚またはデスクトップ，に直接支持された，キャスター，ローラーまたはホイールの付いた引出し［２０１７．０１］
uploaded,新設,,A47B 88/413,,・・家具本体と床との間に設けられた空間にスライドする引出し，例．台座引出し［２０１７．０１］
uploaded,新設,,A47B 88/417,,・・引出しを支持するための凹凸のあるキャビネット壁［２０１７．０１］
uploaded,新設,,A47B 88/42,,・・垂直方向に延びた引出し，すなわち，高さが幅を上回る引出し［２０１７．０１］
uploaded,新設,,A47B 88/423,,・・スライドまたはガイドの締結装置［２０１７．０１］
uploaded,新設,,A47B 88/427,,・・・引出し側［２０１７．０１］
uploaded,新設,,A47B 88/43,,・・・キャビネット側［２０１７．０１］
uploaded,新設,,A47B 88/433,,・・引出しの後側における一対の回動式に引込み可能なローラーにより支持されたアーム，例．曲がったスライドまたはガイド［２０１７．０１］
uploaded,新設,,A47B 88/437,,・・スライドまたはガイド用のローラー［２０１７．０１］
uploaded,新設,,A47B 88/44,,・・引出しスライドまたは機能的ユニットのシーケンスまたは同期［２０１７．０１］
uploaded,新設,,A47B 88/443,,・・・引出しスライド内部のレールの連続的な動き，すなわち，他の要素が動いている間少なくとも１つのレール要素は動かない［２０１７．０１］
uploaded,新設,,A47B 88/447,,・・・引出しスライド内部のレールの同時の動き，すなわち，全てのレールの要素が同時に整合して動く［２０１７．０１］
uploaded,新設,,A47B 88/45,,・・・協働する引出しスライドの同期，すなわち，異なる引出しスライドのレールの動きの調和［２０１７．０１］
uploaded,新設,,A47B 88/453,,・・作動された引出し［２０１７．０１］
uploaded,新設,,A47B 88/457,,・・・電動［２０１７．０１］
uploaded,新設,,A47B 88/46,,・・・機械的に保存されたエネルギー，例．バネによる［２０１７．０１］
uploaded,新設,,A47B 88/463,,・・・・自動開放［２０１７．０１］
uploaded,新設,,A47B 88/467,,・・・・自動閉鎖［２０１７．０１］
uploaded,新設,,A47B 88/47,,・・・・相互に関連する自動開放機構と自動閉鎖機構をもつもの［２０１７．０１］
uploaded,新設,,A47B 88/473,,・・制動装置，例．直線的または回転的ダンパーまたは摩擦制動；緩衝器；端止め［２０１７．０１］
uploaded,新設,,A47B 88/477,,・・・緩衝器；端止め［２０１７．０１］
uploaded,新設,,A47B 88/48,,・・滑動中または後に回転できる引出し［２０１７．０１］
uploaded,新設,,A47B 88/483,,・・単一の伸張できるガイドまたは部品を有するもの［２０１７．０１］
uploaded,新設,,A47B 88/487,,・・・ローラー，球軸受，車輪または類似物を有するもの［２０１７．０１］
uploaded,新設,,A47B 88/49,,・・２重の伸長できるガイドまたは部分を有するもの［２０１７．０１］
uploaded,新設,,A47B 88/493,,・・・ローラー，球軸受，車輪，または類似物を有するもの［２０１７．０１］
uploaded,新設,,A47B 88/497,,・・その他のガイド機構を有するもの，例．シザース機構［２０１７．０１］
uploaded,新設,,A47B 88/05,,・引出しのための安全装置または類似物（複数の引出しのために特に適合する鍵Ｅ０５Ｂ６５／４６）［２０１７．０１］
uploaded,新設,,A47B 88/53,,・・意図せず閉まることを防ぐもの，例．挟み防止装置［２０１７．０１］
uploaded,新設,,A47B 88/57,,・・引出しが完全に引き出されることを防ぐもの［２０１７．０１］
uploaded,新設,,A47B 88/06,,・傾斜または枢軸式に可動に配置した引出し［２０１７．０１］
uploaded,新設,,A47B 88/07,,・連結された引出し［２０１７．０１］
uploaded,新設,,A47B 88/75,,・・二次的引出しが主要引出しの内部か上部に配置されたもの［２０１７．０１］
uploaded,新設,,A47B 88/08,,・隠し引出し［２０１７．０１］
uploaded,新設,,A47B 88/09,,・引出しの構造的詳細［２０１７．０１］
uploaded,新設,,A47B 88/906,,・・一片の材料から造られた引出し，例．折り曲げにより形成されたものまたは鋳造物［２０１７．０１］
uploaded,新設,,A47B 88/913,,・・引出しの側壁，後壁または底板の中で少なくとも一つがリビングヒンジにより他のものと連結されたもの［２０１７．０１］
uploaded,新設,,A47B 88/919,,・・引出しの付属品または引出しに追加された要素，例．引出し用照明（整理または並べ替え手段をもつ引出しＡ４７Ｂ８８／９６９）［２０１７．０１］
uploaded,新設,,A47B 88/925,,・・・側壁に追加的側壁を取り付け可能のもの［２０１７．０１］
uploaded,新設,,A47B 88/931,,・・・引出しの壁より上にレールまたは棒が取り付けてあるもの，例．引出しの安定性を増すためまたは内容物を吊り下げるため［２０１７．０１］
uploaded,新設,,A47B 88/938,,・・・・レールまたは棒を引出しに連結する手段［２０１７．０１］
uploaded,新設,,A47B 88/944,,・・フロントパネルにより特徴づけられる引出し［２０１７．０１］
uploaded,新設,,A47B 88/95,,・・・フロントパネルを連結する手段により特徴づけられるもの［２０１７．０１］
uploaded,新設,,A47B 88/956,,・・・・フロントパネルの調節を可能にするためのもの［２０１７．０１］
uploaded,新設,,A47B 88/963,,・・・シール手段をもつもの，例．ガスケット［２０１７．０１］
uploaded,新設,,A47B 88/969,,・・内容物を整理または並べ替えする手段をもつもの［２０１７．０１］
uploaded,新設,,A47B 88/975,,・・・再配置可能の隔壁の形をとるもの［２０１７．０１］
uploaded,新設,,A47B 88/981,,・・・垂直の分離ポストの形をとるもの［２０１７．０１］
uploaded,新設,,A47B 88/988,,・・・特定物品を配置するためのホルダーの形をとるもの［２０１７．０１］
uploaded,新設,,A47B 88/994,,・・・トレイまたは挿入物の形をとるもの［２０１７．０１］
uploaded,新設,,B60S 1/02 200,,・・風防又は窓の透明板をこれと一体の透明膜を用いて清掃するもの（車両の風防又は窓Ｂ６０Ｊ１／００；車外後写鏡Ｂ６０Ｒ１／０６）
uploaded,新設,,B60S 1/02 300,,・・風防又は窓の透明板をこれと一体の電熱線又は面状発熱体を用いて清掃するもの（車両の風防又は窓Ｂ６０Ｊ１／００；光透過面又は光反射面のために特別に構成された加熱手段であって窓，鏡，又は車両の風防を除曇し又は除氷するためのものＨ０５Ｂ３／８４；後面窓を清掃するために特別に構成された清掃用装備Ｂ６０Ｓ１／５８）
uploaded,新設,,B60S 1/02 310,,・・・加熱制御
uploaded,新設,,B60S 1/02 400,,・・風防越し又は窓越しに車外をモニタする車内センサのクリアな視界のために風防又は窓を清掃するもの（車外センサを清掃するためのものＢ６０Ｓ１／６２）
uploaded,新設,,B60S 1/02 400 A,,風防又は窓に対して面接触していないものであって車内側にあるもの
uploaded,新設,,B60S 1/02 400 Z,,その他のもの
uploaded,新設,,B60S 1/02 800,,・・被清掃面を振動させるもの，例．超音波振動（車外後写鏡を清掃するために特別に構成された清掃用装備Ｂ６０Ｓ１／５６；側面窓を清掃するために特別に構成された清掃用装備Ｂ６０Ｓ１／５６）
uploaded,新設,,B60S 1/04 100,,・・・スクレーパー，すなわち，ブレードに対してアームが垂直な丁字状のもの（車両と一体になっていない車両清掃装置Ｂ６０Ｓ３／００；清掃一般Ｂ０８Ｂ）
uploaded,新設,,B60S 1/04 200,,・・・回転する窓に適用される固定ワイパー（車両の風防又は窓Ｂ６０Ｊ１／００；鉄道車両に特有な窓の構成Ｂ６１Ｄ２５／００；船舶等のために特別に構成された窓Ｂ６３Ｂ１９／０２）
uploaded,新設,,B60S 1/04 300,,・・・ワイパー又はワイパーの部品に追加的に固定された部材であって他に分類されていないもの，例．カバー，アンテナ，又は照明
uploaded,新設,,B60S 1/04 500,,・・・ワイパーのためのワイパー周辺の構造
uploaded,新設,,B60S 1/04 510,,・・・・ワイパーを完全に又は部分的に収納する凹部
uploaded,新設,,B60S 1/04 511,,・・・・・凹部を蓋で閉じるもの
uploaded,新設,,B60S 1/04 512,,・・・・・視界確保のためのもの，例．コンシールドワイパー（Ｂ６０Ｓ１／０４，５１１が優先）
uploaded,新設,,B60S 1/04 520,,・・・・窓又は外装からワイパーを持ち上げて支持するためのもの（ワイパーアームに設けられた持ち上げ機構Ｂ６０Ｓ１／３４，２３０）
uploaded,新設,,B60S 1/04 700,,・・・ワイパーのピボット軸ホルダ
uploaded,新設,,B60S 1/04 710,,・・・・ピボット軸支持構造
uploaded,新設,,B60S 1/04 720,,・・・・ピボット軸ホルダの内部への浸水を防ぐもの
uploaded,新設,,B60S 1/04 730,,・・・・下方部材の被水を防ぐもの，例．排水トレー
uploaded,新設,,B60S 1/04 740,,・・・・２つのピボット軸ホルダを両端で支持する横梁フレームの構造，又は，横梁フレームとの連結構造
uploaded,新設,,B60S 1/04 741,,・・・・・横梁フレームに対し，各ピボット軸を駆動する駆動源，例．モータユニット，を組み付ける構造
uploaded,新設,,B60S 1/04 800,,・・・駆動源からワイパーのピボット軸ホルダまでの全て又は一部の車体への取り付け
uploaded,新設,,B60S 1/04 810,,・・・・風防又は窓の透明板の貫通孔又はボディパネルの貫通孔と，この貫通孔に挿入されるピボット軸ホルダ又はピボット軸との間のシール，例．グロメット
uploaded,新設,,B60S 1/04 820,,・・・・ピボット軸ホルダの車体への取り付け（Ｂ６０Ｓ１／０４，８２１が優先）
uploaded,新設,,B60S 1/04 821,,・・・・・横梁フレームを介して他のピボット軸ホルダに連結させられているもの
uploaded,新設,,B60S 1/04 830,,・・・・２つのピボット軸ホルダを両端で支持する横梁フレームを直接車体に取り付けるもの
uploaded,新設,,B60S 1/04 840,,・・・・横梁フレームに組み付けられている駆動源，例．モータユニット，を直接車体に取り付けるもの
uploaded,新設,,B60S 1/04 850,,・・・・駆動源，例．モータユニット，単体の車体への取り付け
uploaded,新設,,B60S 1/04 860,,・・・・振動又は異音を吸収する手段，例．ゴムブッシュ
uploaded,新設,,B60S 1/04 900,,・・・駆動源からワイパーのピボット軸ホルダまでの全て又は一部が配置される車両上の位置に特徴を有するもの
uploaded,新設,,B60S 1/08 M,,・・反転位置以外の位置にワイパーを停止させ，又は，反転位置からその位置へ移動させる制御を行うもの（障害物に対処するための機械的な構造，又は，ワイパー位置を手作業で又は別のアクチュエータで変更するための構造Ｂ６０Ｓ１／１８）
uploaded,新設,,B60S 1/08 N,,・・・その位置が，ワイパー不使用時のワイパー位置であるもの
uploaded,新設,,B60S 1/08 P,,モータユニットの構造に特徴を有するもの
uploaded,新設,,B60S 1/08 Q,,・減速機
uploaded,新設,,B60S 1/08 R,,・出力軸がワイパーのピボット軸そのものであるモータユニットに特有の構造
uploaded,新設,,B60S 1/18 100,,・・・・・・障害物，例．積雪，による払拭範囲の変化に対処するための機械的な構造
uploaded,新設,,B60S 1/18 200,,・・・・・・ワイパー不使用時のワイパー位置を手作業で又は別のアクチュエータで変更するための機械的な構造
uploaded,新設,,B60S 1/18 500,,・・・・・・駆動源とワイパーのピボット軸との間の動力伝達手段がリンクだけで構成されているもの（少なくとも１つのリンクがクランクアームである場合Ｂ６０Ｓ１／２４）
