改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A23L 11/04,,・豆類の凝固物［２０２１．０１］
uploaded,新設,,A23L 11/45,,・・大豆の凝固物，例．豆腐［２０２１．０１］
uploaded,新設,,A23L 11/45 105,,・・・凍豆腐
uploaded,新設,,A23L 11/45 105 A,,装置
uploaded,新設,,A23L 11/45 105 Z,,その他
uploaded,新設,,A23L 11/45 106,,・・・豆腐製造用凝固剤，消泡剤又は保存剤
uploaded,新設,,A23L 11/45 106 A,,凝固剤
uploaded,新設,,A23L 11/45 106 B,,消泡剤
uploaded,新設,,A23L 11/45 106 Z,,その他
uploaded,新設,,A23L 11/45 107,,・・・湯葉
uploaded,新設,,A23L 11/45 107 A,,装置
uploaded,新設,,A23L 11/45 107 Z,,その他
uploaded,新設,,A23L 11/45 108,,・・・油揚げ
uploaded,新設,,A23L 11/45 108 A,,装置
uploaded,新設,,A23L 11/45 108 Z,,その他，例．がんもどき，厚揚げ
uploaded,新設,,A23L 11/45 A,,豆腐製造装置，例．家庭用のもの
uploaded,新設,,A23L 11/45 B,,生ゴの調製
uploaded,新設,,A23L 11/45 C,,ゴの加熱
uploaded,新設,,A23L 11/45 D,,豆乳とおからの分離
uploaded,新設,,A23L 11/45 E,,盛り込み，寄せ
uploaded,新設,,A23L 11/45 F,,成型，脱水，切断
uploaded,新設,,A23L 11/45 G,,充填豆腐
uploaded,新設,,A23L 11/45 H,,仕上げ，例．冷却，殺菌または包装
uploaded,新設,,A23L 11/45 Z,,その他，例．製法
uploaded,新設,,A23L 11/05,,・発酵豆類または発酵させた豆科植物；微生物の付加による豆類または豆科植物の発酵（望ましくない物質の除去Ａ２３Ｌ１１／３０；醤油Ａ２３Ｌ２７／５０）［２０２１．０１］
uploaded,新設,,A23L 11/05 102,,・・熟成したもの
uploaded,新設,,A23L 11/05 103,,・・みそ
uploaded,新設,,A23L 11/05 104,,・・・原料処理方法
uploaded,新設,,A23L 11/05 105,,・・・・仕込方法
uploaded,新設,,A23L 11/05 106,,・・・・原料処理装置，仕込装置
uploaded,新設,,A23L 11/05 107,,・・・・みその発酵，熟成方法
uploaded,新設,,A23L 11/05 108,,・・・・みその発酵，熟成装置
uploaded,新設,,A23L 11/05 109,,・・・・各種みそ
uploaded,新設,,A23L 11/05 110,,・・・・・白みそ
uploaded,新設,,A23L 11/05 111,,・・・・・なめみそ
uploaded,新設,,A23L 11/05 112,,・・・引き続き処理するもの
uploaded,新設,,A23L 11/05 113,,・・・・みその発酵，熟成後の処理
uploaded,新設,,A23L 11/05 114,,・・・・殺菌又は防腐
uploaded,新設,,A23L 11/05 115,,・・・・・製品加工
uploaded,新設,,A23L 11/05 116,,・・・・みその発酵，熟成後の処理装置
uploaded,新設,,A23L 11/05 117,,・・・・脱水
uploaded,新設,,A23L 11/05 118,,・・・・・固形みそ又は粉末みそ
uploaded,新設,,A23L 11/05 209,,・・なっとう
uploaded,新設,,A23L 11/05 209 A,,装置
uploaded,新設,,A23L 11/05 209 Z,,その他
uploaded,新設,,A23L 11/06,,・豆科植物からの飲料，例．ルピナス属からの飲料［２０２１．０１］
uploaded,新設,,A23L 11/65,,・・大豆飲料［２０２１．０１］
uploaded,新設,,A23L 11/07,,・発芽豆類製品，例．大豆もやしからの製品［２０２１．０１］
uploaded,新設,,A42B 1/002,,・ハット，キャップまたはフードの形を保持するのに適した外部装置または支持体（寸法を変えるためのものＡ４２Ｃ３／００）［２０２１．０１］
uploaded,新設,,A42B 1/004,,・装飾的構造または装飾的な効果［２０２１．０１］
uploaded,新設,,A42B 1/006,,・頭当て以外に転用できるもの，または頭当て以外の利用に適したもの［２０２１．０１］
uploaded,新設,,A42B 1/006 L,,袋，容器
uploaded,新設,,A42B 1/006 M,,座ぶとん
uploaded,新設,,A42B 1/006 Z,,その他のもの
uploaded,新設,,A42B 1/008,,・加温または冷却する手段を持つもの（頭を覆うものの通風手段の配置Ａ４２Ｃ５／０４）［２０２１．０１］
uploaded,新設,,A42B 1/008 K,,通風装置
uploaded,新設,,A42B 1/008 Z,,その他のもの
uploaded,新設,,A42B 1/009,,・光を反射する手段を持つもの［２０２１．０１］
uploaded,新設,,A42B 1/011,,・臭気を除去する装置または賦香装置［２０２１．０１］
uploaded,新設,,A42B 1/012,,・衛生または使い捨て，例．医療機関でまたは食品事業者が使用するためのもの［２０２１．０１］
uploaded,新設,,A42B 1/014,,・昆虫からの保護に特に適したもの［２０２１．０１］
uploaded,新設,,A42B 1/017,,・健康促進に特に適したもの，例．鍼療法のつぼを押すための手段を持つもの［２０２１．０１］
uploaded,新設,,A42B 1/0175,,・・磁石を用いるもの［２０２１．０１］
