改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
2016.11,新設,,A01J 5/003,,・可動搾乳機［６］
2016.11,新設,,A01J 5/007,,・搾乳工程の監視；搾乳機の制御または調整［６］
2016.11,新設,,A01J 5/01,,・・ミルクメーター；乳流感知装置［６］
2016.11,新設,,A01J 5/013,,・現場での乳房炎の探知［６］
2016.11,新設,,A01J 5/017,,・クラスタの自動取付けまたは取外し［６］
2016.11,新設,,A01J 7/02,,・搾乳機または装置の清掃または消毒用（搾乳機のパイプやチューブの内部表面の清掃Ｂ０８Ｂ９／０２７）［６］
2016.11,新設,,A01J 7/04,,・乳房または乳頭の処置用，例．洗浄用［６］
2016.11,新設,,A23D 7/005,,・脂肪酸トリグリセリド以外の成分に特徴のあるもの［６］
2016.11,新設,,A23D 7/01,,・・その他の脂肪酸エステル，例．リン脂質［６］
2016.11,新設,,A23D 7/015,,・カロリを減らすもの；脂肪を減らすもの［６］
2016.11,新設,,A23D 7/015 500,,・・低カロリーマーガリン
2016.11,新設,,A23D 7/05,,・・・本質的な冷却に特徴のあるもの［６］
2016.11,新設,,A23D 9/007,,・脂肪酸トリグリセリド以外の成分に特徴のあるもの［６］
2016.11,新設,,A23D 9/013,,・・その他の脂肪酸エステル，例．リン脂質［６］
2016.11,新設,,A23D 9/05,,・・・自由流れ片を形成するもの［６］
2016.11,新設,,A61L 17/00 100,,・生物活性薬剤を含有するもの，例．薬剤または殺菌剤
2016.11,新設,,A61L 17/04,,・再吸収されない材料物質［７］
2016.11,新設,,A61L 17/06,,・少なくとも部分的に再吸収する物質［７］
2016.11,新設,,A61L 17/08,,・・動物起源のもの，例．ガット，コラーゲン［７］
2016.11,新設,,A61L 17/01,,・・高分子物質を含有するもの［７］
2016.11,新設,,A61L 17/01 100,,・・・Ａ６１Ｌ１７／１２に含まれないポリエステル
2016.11,新設,,A61L 17/12,,・・・グリコール酸または乳酸の，単独重合体もしくは共重合体［７］
2016.11,新設,,A61L 17/14,,・特性改善のための後処理［７］
2016.11,新設,,A61L 17/14 100,,・・コーティング
2016.11,新設,,A61L 24/00,,外科用接着剤またはセメント；人工肛門用具のための接着剤（生体内での治療または検査で使用される導電性接着剤Ａ６１Ｋ５０／００）［７］
2016.11,新設,,A61L 24/00 100,,・構造未定の成分またはそれらの反応生成物
2016.11,新設,,A61L 24/00 200,,・それらの機能または物理的性質に特徴のある材料の使用
2016.11,新設,,A61L 24/00 210,,・・薬剤；殺生物剤
2016.11,新設,,A61L 24/00 220,,・・可塑剤
2016.11,新設,,A61L 24/00 230,,・・噴霧可能な組成物
2016.11,新設,,A61L 24/00 240,,・・ヒドロゲルまたはハイドロコロイドゲル
2016.11,新設,,A61L 24/00 250,,・・多孔性物質，例．発泡体または海綿状物
2016.11,新設,,A61L 24/00 260,,・・身体に再吸収される物質
2016.11,新設,,A61L 24/00 300,,・複合物質，すなわち、同一または異なる材料からなるマトリックスに分散される物質を含有するもの
2016.11,新設,,A61L 24/00 310,,・・高分子マトリックスを有するもの
2016.11,新設,,A61L 24/00 311,,・・・高分子充填材料を含有するもの
2016.11,新設,,A61L 24/02,,・無機物質を含有するもの［７］
2016.11,新設,,A61L 24/04,,・高分子物質を含有するもの［７］
2016.11,新設,,A61L 24/04 100,,・・高分子物質の混合物
2016.11,新設,,A61L 24/04 200,,・・炭素－炭素不飽和結合のみが関与する反応以外の反応によって得られるもの
2016.11,新設,,A61L 24/06,,・・炭素－炭素不飽和結合のみが関与する反応から得られるもの［７］
2016.11,新設,,A61L 24/08,,・・多糖類［７］
2016.11,新設,,A61L 24/01,,・・ポリペプチド，蛋白質［７］
2016.11,新設,,A61L 24/12,,・・イオノマーセメント，例．ガラスイオノマー，セメント［７］
2016.11,新設,,A61L 26/00,,液体包帯の化学的事項または材料の使用［７］
2016.11,新設,,A61L 27/02,,・無機材料［７］
2016.11,新設,,A61L 27/04,,・・金属または合金［７］
2016.11,新設,,A61L 27/06,,・・・チタンまたはチタン合金［７］
2016.11,新設,,A61L 27/08,,・・炭素［７］
2016.11,新設,,A61L 27/01,,・・セラミックまたはガラス［７］
2016.11,新設,,A61L 27/12,,・・リン含有材料，例．アパタイト［７］
2016.11,新設,,A61L 27/14,,・高分子材料［７］
2016.11,新設,,A61L 27/16,,・・炭素－炭素不飽和結合のみが関与する反応から得られるもの［７］
2016.11,新設,,A61L 27/18,,・・炭素－炭素不飽和結合のみが関与する反応以外の反応から得られるもの［７］
2016.11,新設,,A61L 27/02,,・・多糖類［７］
2016.11,新設,,A61L 27/22,,・・ポリペプチド，またはその誘導体［７］
2016.11,新設,,A61L 27/24,,・・・コラーゲン［７］
2016.11,新設,,A61L 27/26,,・・高分子物質の混合物［７］
2016.11,新設,,A61L 27/28,,・補綴用品のコーティング用の材料［７］
2016.11,新設,,A61L 27/03,,・・無機材料［７］
2016.11,新設,,A61L 27/03 100,,・・・炭素
2016.11,新設,,A61L 27/32,,・・・リン含有材料，例．アパタイト［７］
2016.11,新設,,A61L 27/34,,・・高分子材料［７］
2016.11,新設,,A61L 27/36,,・構造未知の成分またはその反応生成物を含有するもの［７］
2016.11,新設,,A61L 27/36 100,,・・ヒトまたは動物由来の生体材料によって特徴付けられるもの，例．毛，筋膜，魚鱗，絹，シェラック，心膜，胸膜，腎組織，羊膜，柔組織，胎児組織，筋組織，脂肪組織またはエナメル質
2016.11,新設,,A61L 27/36 110,,・・・骨，例．脱灰骨または骨粉末
2016.11,新設,,A61L 27/36 120,,・・・軟骨，滑液
2016.11,新設,,A61L 27/36 130,,・・・細胞外マトリクス
2016.11,新設,,A61L 27/36 200,,・・ヒトまたは動物以外の生体由来材料によって特徴付けられるもの，例．植物抽出物または藻類
2016.11,新設,,A61L 27/36 300,,・・身体における適用部位によって特徴付けられるもの（人工血管Ａ６１Ｌ２７／５０７；人工皮膚Ａ６１Ｌ２７／６０）
2016.11,新設,,A61L 27/36 310,,・・・結合組織
2016.11,新設,,A61L 27/36 311,,・・・・骨
2016.11,新設,,A61L 27/36 312,,・・・・軟骨，例．椎間板
2016.11,新設,,A61L 27/36 320,,・・・中空組織，例．膀胱、食道，尿道，子宮または腸
2016.11,新設,,A61L 27/36 400,,・・移植の前に特別な処理を施されるもの，例．脱細胞化，脱灰，粉砕，細胞破砕，非コラーゲン性タンパク質除去，非石灰化，架橋，超臨界抽出または酵素処理
2016.11,新設,,A61L 27/36 410,,・・・化学物質での処理によって特徴付けられるもの，例．酵素、界面活性剤，架橋剤または非石灰化剤
2016.11,新設,,A61L 27/36 420,,・・・物理的処理によって特徴付けられるもの，例．加圧，周期的加圧，超音波，マイクロ波処理または凍結乾燥
2016.11,新設,,A61L 27/36 430,,・・・最終産物の機能または物理的特性によって特徴付けられるもの（Ａ６１Ｌ２７／３６，４１０，Ａ６１Ｌ２７／３６，４２０が優先）
2016.11,新設,,A61L 27/38,,・・動物細胞（人工皮膚に用いるものＡ６１Ｌ２７／６０）［７］
2016.11,新設,,A61L 27/38 100,,・・・身体における適用部位によって特徴付けられるもの（人工血管はＡ６１Ｌ２７／５０７；人工皮膚はＡ６１Ｌ２７／６０）
2016.11,新設,,A61L 27/38 110,,・・・・結合組織
2016.11,新設,,A61L 27/38 111,,・・・・・骨
2016.11,新設,,A61L 27/38 112,,・・・・・軟骨，例．椎間板
2016.11,新設,,A61L 27/38 120,,・・・・中空組織，例．膀胱，食道，尿道または子宮
2016.11,新設,,A61L 27/38 200,,・・・二種類以上の細胞を含むもの
2016.11,新設,,A61L 27/38 300,,・・・特定の条件によって培養されるもの，例．幹細胞に対する分化誘導または拍動流負荷
2016.11,新設,,A61L 27/04,,・複合材料，例．層状のものまたはある物質を同一もしくは異なる物質からなるマトリックスに分散させたもの［７］
2016.11,新設,,A61L 27/42,,・・無機物質のマトリックスを持つもの［７］
2016.11,新設,,A61L 27/44,,・・高分子のマトリックスを持つもの［７］
2016.11,新設,,A61L 27/44 100,,・・・炭素充填材料を有するもの
2016.11,新設,,A61L 27/46,,・・・リンを含む無機物質の充填剤を含むもの［７］
2016.11,新設,,A61L 27/48,,・・・高分子の充填剤を含むもの［７］
2016.11,新設,,A61L 27/05,,・機能または物理的特性に特徴のある材料［７］
2016.11,新設,,A61L 27/05 100,,・・可塑剤
2016.11,新設,,A61L 27/05 200,,・・安定化剤
2016.11,新設,,A61L 27/05 300,,・・人工血管用のもの
2016.11,新設,,A61L 27/52,,・・ヒドロゲルまたはハイドロコロイド［７］
2016.11,新設,,A61L 27/54,,・・生物学的活性を有する材料，例．治療用物質［７］
2016.11,新設,,A61L 27/56,,・・多孔性または多泡性材料［７］
2016.11,新設,,A61L 27/58,,・・少なくとも部分的に身体に再吸収される材料［７］
2016.11,新設,,A61L 27/06,,・・人工皮膚用材料［７］
2016.11,新設,,A61L 28/00,,人工肛門用具のための材料（人工肛門用具のための接着剤Ａ６１Ｌ２４／００）［７］
2016.11,新設,,A61L 29/02,,・無機材料［７］
2016.11,新設,,A61L 29/04,,・高分子材料［７］
2016.11,新設,,A61L 29/04 100,,・・炭素－炭素不飽和結合のみが関与する反応から得られるもの
2016.11,新設,,A61L 29/04 110,,・・・ゴム
