改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20110101,20120101,A63C0009000000,c,A63C0009000000,c
20110101,20120101,A63C0009000000,c,A63C0010000000,n
20110101,20120101,A63C0009000000,c,A63C0010020000,n
20110101,20120101,A63C0009000000,c,A63C0010040000,n
20110101,20120101,A63C0009000000,c,A63C0010060000,n
20110101,20120101,A63C0009000000,c,A63C0010080000,n
20110101,20120101,A63C0009000000,c,A63C0010100000,n
20110101,20120101,A63C0009000000,c,A63C0010120000,n
20110101,20120101,A63C0009000000,c,A63C0010140000,n
20110101,20120101,A63C0009000000,c,A63C0010160000,n
20110101,20120101,A63C0009000000,c,A63C0010180000,n
20110101,20120101,A63C0009000000,c,A63C0010200000,n
20110101,20120101,A63C0009000000,c,A63C0010220000,n
20110101,20120101,A63C0009000000,c,A63C0010240000,n
20110101,20120101,A63C0009000000,c,A63C0010260000,n
20110101,20120101,A63C0009000000,c,A63C0010280000,n
20110101,20120101,A63C0009020000,c,A63C0009020000,c
20110101,20120101,A63C0009020000,c,A63C0010000000,n
20110101,20120101,A63C0009020000,c,A63C0010020000,n
20110101,20120101,A63C0009020000,c,A63C0010040000,n
20110101,20120101,A63C0009020000,c,A63C0010060000,n
20110101,20120101,A63C0009020000,c,A63C0010080000,n
20110101,20120101,A63C0009020000,c,A63C0010100000,n
20110101,20120101,A63C0009040000,c,A63C0009040000,c
20110101,20120101,A63C0009040000,c,A63C0010000000,n
20110101,20120101,A63C0009040000,c,A63C0010020000,n
20110101,20120101,A63C0009040000,c,A63C0010040000,n
20110101,20120101,A63C0009040000,c,A63C0010060000,n
20110101,20120101,A63C0009040000,c,A63C0010080000,n
20110101,20120101,A63C0009040000,c,A63C0010100000,n
20110101,20120101,A63C0009060000,c,A63C0009060000,c
20110101,20120101,A63C0009060000,c,A63C0010000000,n
20110101,20120101,A63C0009060000,c,A63C0010020000,n
20110101,20120101,A63C0009060000,c,A63C0010040000,n
